spheroid_id,frame,total_area,equivalent_diameter,solidity,perimeter,circularity
VID1797_A1,48.0,365865,682.5201726209492,0.8416436049440652,5308.854039231661,0.1631282432031001
VID1797_A1,49.0,383997,699.2282642025194,0.8396533778819578,5442.067242667258,0.1629333129315423
VID1797_A1,50.0,367059,683.6329673523243,0.8383845305230267,5274.126117170304,0.1658229816468513
VID1797_A1,51.0,368262,684.7523210791334,0.8582635325045795,5138.356564548603,0.1752743219694582
VID1797_A1,52.0,363837,680.6259297424742,0.8438952544417127,5411.197184982169,0.1561456917845985
VID1797_A1,53.0,372513,688.6931700895034,0.8425989595114227,5489.238815542512,0.1553556477555266
VID1797_A1,54.0,371019,687.310746786412,0.8618607806061056,5271.611398544542,0.1677719057673218
VID1797_A1,55.0,368562,685.0311767260531,0.860625477234039,4729.444876303172,0.2070618472203076
VID1797_A1,56.0,363963,680.7437729575233,0.8571337735618,5286.126117170304,0.163678659410392
VID1797_A1,57.0,358701,675.8049259483447,0.8514429627379025,4670.403245742829,0.2066491829561292
VID1797_A1,58.0,366408,683.0264673549053,0.8596303951538925,5219.854039231661,0.1689888665331394
VID1797_A1,59.0,360798,677.7774570324372,0.8589671862240708,5029.847942577251,0.179210839107679
VID1797_A1,60.0,357915,675.0640944783582,0.8803714180297626,4901.2854967367375,0.1872275535624735
VID1797_A1,61.0,352791,670.2144822567345,0.8676376192478806,4675.658079738768,0.2027878225801568
VID1797_A1,62.0,359193,676.2682395263415,0.8620459590808184,5300.309883354377,0.1606701524098787
VID1797_A1,63.0,352629,670.0605848879754,0.8634148849690998,4815.55757467538,0.1910885787433975
